Blog	four	second	available	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	needed	project	person	tech	came	net	result	best	asked	much	life	worked	things	had	possible	right	old	people	o	support	call	happy	full	inside	later	time	team	along	love	working	awesome	such	data	so	years	didn	internet	million	quite	open	future	san	say	saw	note	take	knew	ways	madison	going	where	sites	jobs	many	wants	photos	technology	summer	being	around	traffic	world	power	industry	favorite	mean	her	gone	am	original	tv	th	large	small	past	hours	experience	company	science	learn	sense	its	always	found	really	research	major	also	play	plan	sometimes	set	see	whole	community	recent	using	couple	d	continue	anything	into	link	line	posted	up	us	ago	having	try	video	let	great	makes	next	process	high	move	books	could	start	system	face	should	hope	means	stuff	email	co	ve	site	android	off	less	web	five	become	doing	building	chance	above	told	word	work	after	office	then	them	network	created	another	do	away	com	easy	photo	thanks	night	security	post	months	book	way	war	test	update	together	global	change	live	car	write	product	remember	still	now	drop	year	space	looking	shows	care	yourself	message	than	online	america	only	between	article	comes	learning	these	media	thinking	real	read	early	amp	business	aren	lot	trying	since	month	very	family	takes	history	tried	help	actually	systems	beyond	event	issue	reason	put	american	miss	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	run	within	similar	doesn	go	does	facebook	button	click	following	products	started	control	links	software	including	ask	times	wrote	exactly	need	able	based	course	she	state	key	problem	well	page	twitter	home	he	piece	star	stay	friends	companies	likely	even	tips	ever	never	tell	give	answer	think	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	popular	super	down	did	box	visit	making	may	grow	man	maybe	talk	nbsp	group	interesting	main	morning	thing	first	long	little	anyone	were	especially	show	behind	black	get	nearly	enough	reading	across	according	those	eventually	different	pay	same	running	money	either	images	videos	general	again	important	u	starting	forget	public	search	two	hour	huge	share	needs	coming	already	through	good	everyone	house	hard	idea	done	least	part	believe	john	built	build	most	find	please	point	simple	simply	create	understand	fun	itself	development	yesterday	spent	spend	big	bit	google	often	back	forward	single	entire	body	others	account	ll	day	red	text	national	taking	almost	thought	latest	add	works	buy	minutes	under	every	would	phone	must	me	join	keep	end	writers	over	writing	each	got	free	wanted	days	top	too	took	talking	though	watch	amazon	report	however	news	been	several	social	gave	specific	everything	head	check	no	focus	cool	level	says	goes	water	today	trump	information	happened	name	turn	place	any	ideas	sure	true	review	come	case	myself	someone	week	without	seems	blog	there	follow	far	worst	list	design	version	known	rather	short	might	number	friday	feel	story	kind	nothing	his	hit	b	him	art	recently	attention	became	questions	question	fast	called	nice	users	once	issues	include	apple	app	use	few	women	something	united	six	instead	related	our	york	their	which	who	why	looked	ones	words	view	stories	job	last	gets	know	because	lead	getting	own	apps	made	other
PaulStamatiou.com - Technology, Design and Photography	2	12	3	14	0	2	5	9	8	16	6	0	2	21	6	5	16	4	2	9	4	3	3	12	7	64	7	5	20	48	6	10	13	31	4	5	3	2	6	5	10	49	22	14	7	35	1	11	4	38	10	16	1	0	10	4	4	3	4	0	7	17	1	1	0	12	22	7	2	12	0	13	0	3	7	24	4	7	1	0	4	1	1	2	5	3	1	0	3	6	3	6	15	3	0	7	7	4	6	8	6	6	0	32	3	0	0	10	15	4	2	5	19	0	19	3	4	32	3	5	0	56	9	8	14	8	55	11	12	2	14	20	3	4	1	24	12	6	0	13	0	3	4	4	1	13	45	32	8	7	17	0	2	1	12	0	0	2	2	28	31	6	26	32	2	5	12	30	5	20	5	12	2	2	0	32	10	1	18	0	9	7	3	3	9	7	3	8	13	1	21	34	3	17	3	5	43	2	0	3	10	2	0	77	7	8	3	1	11	7	8	14	5	6	13	0	0	3	5	16	9	15	2	3	1	1	7	9	1	3	3	2	6	8	0	1	7	4	2	10	13	2	5	4	7	1	47	29	2	15	26	2	7	2	0	3	9	8	1	3	8	0	4	15	4	1	3	5	6	10	7	7	18	12	2	9	0	4	1	6	15	31	48	5	10	4	0	1	4	0	4	13	1	3	3	6	5	3	13	13	4	50	4	3	2	7	2	5	0	6	1	12	20	3	1	3	7	0	2	5	67	43	23	1	0	2	4	3	0	5	1	13	10	3	3	4	7	3	0	0	3	6	5	3	3	2	13	31	9	3	1	31	3	10	3	1	43	0	8	7	2	0	8	3	7	1	13	9	1	4	8	11	2	4	0	0	3	0	3	1	17	4	6	9	2	2	7	19	13	4	1	9	8	10	1	28	3	0	10	14	16	7	2	14	8	5	14	3	2	3	8	1	3	3	8	15	17	11	13	4	6	5	0	4	2	20	16	4	0	0	8	3	12	2	5	1	1	4	1	14	70	4	3	40	0	6	9	0	20	10	12	10	1	17	9	6	20	3	5	11	1	15	0	9	10	17	6	1	2	2	5	1	3	28	2	0	7	2	2	0	2	0	0	0	7	2	7	20	5	10	1	23	7	5	7	4	22	10	3	13	32	4	1	0	4	80	9	1	2	4	9	2	0	13	4	2	2	8	6	3	1	2	6	2	6	11	1	5	5	2	14	0	9	2	2	25	34	31	0	24	0	1	6	0	42	1	26	13	2	10	4	2	1	7	3	4	25	2	11	5	1	17	17	6	14	27
Untitled_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	0	2	0	7	0	0	0	0	2	1	6	1	0	8	0	1	0	2	0	0	0	0	0	3	1	3	0	0	1	5	0	6	1	5	0	1	0	0	5	0	0	2	1	1	0	0	2	0	1	13	2	0	4	1	1	2	21	0	1	1	0	1	0	0	0	3	4	6	2	6	0	0	4	1	2	4	2	2	1	3	0	0	0	1	6	2	2	0	0	0	0	0	0	3	0	0	0	4	0	1	0	0	2	1	1	0	1	2	2	0	0	3	2	0	1	2	0	1	14	0	2	2	6	1	0	0	0	1	5	0	2	0	2	0	0	5	2	0	0	4	1	0	1	0	0	6	11	0	1	1	22	1	3	2	0	0	0	0	0	1	0	0	2	1	2	1	0	2	5	10	1	1	0	0	0	9	1	2	4	0	0	1	1	0	2	0	0	0	1	0	1	7	0	1	2	1	1	2	0	0	3	9	0	1	0	5	2	0	5	14	2	0	1	0	0	7	0	3	2	2	0	2	0	0	1	0	2	1	2	2	0	0	1	3	0	0	0	0	0	0	0	0	2	0	2	1	0	2	0	2	2	2	0	0	1	2	1	0	4	0	0	0	0	2	2	9	0	0	2	4	1	1	2	0	1	1	0	2	0	1	2	13	7	0	8	0	0	0	0	8	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	15	2	2	1	3	0	6	5	1	0	0	1	0	2	3	0	10	4	2	2	0	1	0	0	0	0	2	0	0	1	3	3	1	0	0	1	0	0	2	1	0	1	9	1	0	3	0	0	1	1	0	6	0	3	8	1	1	2	0	0	1	0	0	3	0	0	0	2	0	7	1	0	2	0	1	4	0	0	1	3	0	1	5	1	1	1	1	1	0	1	0	1	0	0	0	13	1	0	0	2	0	1	1	0	0	0	1	0	0	4	1	9	2	2	0	0	1	0	1	0	2	0	0	3	1	0	1	0	0	0	1	0	0	0	2	2	0	0	1	1	2	2	0	4	1	1	3	2	0	3	1	2	0	0	1	0	0	3	0	57	5	1	1	0	1	2	3	0	5	3	1	1	0	1	0	5	0	3	1	1	0	0	3	0	1	1	0	2	2	0	1	5	1	1	6	11	0	0	1	0	0	0	0	2	0	1	2	0	0	4	5	1	4	0	0	0	0	1	1	0	1	4	5	4	0	1	0	0	1	0	0	2	4	0	0	0	0	1	1	7	5	6	12	2	9	0	0	0	0	10	0	5	2	2	5	2	0	2	0	0	7
Eschaton	0	0	0	2	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	4	0	0	1	2	0	0	0	6	2	0	2	2	0	0	0	2	0	0	0	1	0	2	0	4	3	1	0	0	1	0	0	0	3	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	4	0	7	0	0	0	0	7	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0	1	2	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	2	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	0	0	0	0	1	3	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	3	0	2	1	0	4	0	0	0	0	4	0	0	0	0	10	3	1	0	0	3	0	0	0	0	6	4	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	2	1	1	0	0	0	3	4	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	3	0	1	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	2	0	1	0	4	1	0	0	0	0	1	1	0	0	1	0	2	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	3	4	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	2	2	0	0	0	1	0	2	0	0	1	7	0	0	2	0	0	1	0	0	0	1	1	3	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	2	3	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	3	6	1	0	1	0	0	0	0	0	0	4	3	0	0	0	0	0	1
we make money not art	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	2	0	2	0	0	2	2	2	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	1	0	0	1	3	0	3	1	0	4	2	1	0	0	1	0	0	0	1	0	0	0	3	0	1	0	1	0	0	2	1	0	1	0	0	3	1	0	1	0	0	0	0	0	1	0	3	15	0	2	0	1	0	1	8	0	1	0	2	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	2	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	2	1	1	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	2	7	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	2	0	2	0	0	1	0	1	0	2	0	0	2	0	1	2	0	0	1	0	3	2	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	1	2	1	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	7	3	0	1	0	0	0	1	1	0	1	0	0	2	0	0	2	0	1	1
Joho the Blog	0	0	0	3	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	1	0	3	0	10	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	3	0	12	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0
Neil Gaiman's Journal	4	4	5	53	8	3	7	8	0	20	0	4	4	14	11	2	6	9	1	0	15	0	0	8	8	25	16	3	39	69	2	12	9	66	0	6	3	14	7	2	5	38	1	5	15	5	0	5	0	45	11	14	2	5	7	3	0	5	11	3	2	9	11	1	0	31	26	0	1	9	1	5	0	0	21	16	1	24	2	0	0	4	39	4	25	0	4	28	0	11	1	5	3	1	3	3	2	18	7	8	26	1	1	29	1	3	4	4	32	10	1	3	4	6	30	0	3	27	15	2	28	41	52	12	9	4	8	11	8	4	15	3	2	4	34	30	4	2	9	14	9	3	4	4	6	22	5	4	11	1	2	5	6	16	0	7	2	19	5	18	16	0	33	41	0	4	8	39	7	27	3	15	0	24	0	6	5	49	12	0	0	1	9	0	2	3	1	16	4	5	17	27	2	41	3	9	7	0	6	1	9	7	1	33	14	6	4	2	6	5	3	6	31	3	5	4	3	4	9	5	3	28	10	3	4	1	9	8	0	0	7	18	1	19	7	5	0	2	7	3	5	1	8	10	10	6	11	19	1	2	0	3	13	2	1	8	24	7	5	0	6	4	0	3	0	3	0	5	9	3	18	0	12	4	0	4	57	2	1	8	10	5	5	3	58	4	4	3	9	0	0	13	0	13	14	8	2	1	21	20	2	2	14	19	4	2	7	1	3	3	9	10	49	3	2	1	26	1	0	10	4	51	31	8	4	3	5	4	4	2	0	7	19	2	6	9	9	2	7	2	17	258	0	4	4	7	14	34	14	7	6	53	5	12	5	19	25	3	7	9	4	0	5	0	6	1	8	3	1	2	8	2	0	13	7	0	1	2	7	0	30	3	4	3	6	10	14	11	26	0	11	7	9	13	1	13	2	1	1	1	18	10	6	3	2	4	0	2	4	3	0	3	6	3	6	6	2	2	19	3	1	3	2	1	0	27	27	3	5	2	3	7	10	1	0	1	7	2	3	8	46	14	1	102	1	5	18	6	24	25	10	15	7	20	14	3	14	9	9	4	6	12	3	0	4	29	1	3	12	0	13	2	1	14	0	4	0	3	3	3	9	0	4	8	6	3	12	9	3	5	4	4	19	3	7	6	15	6	7	15	58	2	4	2	6	3	9	5	4	11	7	1	4	7	27	8	5	38	2	5	26	90	1	5	4	9	3	2	18	9	0	6	9	2	0	2	9	15	1	16	2	3	5	0	23	16	41	40	49	15	4	2	6	2	19	1	23	2	15	37	0	10	6	3	13	15
Untitled_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Untitled_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Online Marketing Report	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
